message,label
"Had a great weekend exploring the countryside.",0
"Do you need help decorating for the festival?",0
"Let’s visit the farmer’s market this Saturday.",0
"I’ve started journaling daily. It’s been amazing!",0
"I’ll meet you at the café around 4 PM.",0
"I’ll see you at the office tomorrow morning.",0
"Can you help me with this assignment?",0
"I’m excited to try the new recipe you shared!",0
"Looking forward to our game night this Friday.",0
"Do you want to go for a swim later today?",0
"Let’s meet for coffee and discuss the project.",0
"I’m planning a surprise birthday party for my mom.",0
"Can you join us for dinner tomorrow evening?",0
"I’ll be at the library for a few hours if you want to stop by.",0
"Had a great workout at the gym today!",0
"Can you pick me up from the airport tomorrow?",0
"I’m sending you the document for review.",0
"Let’s schedule the team meeting for next Tuesday.",0
"Do you want to attend the book launch event?",0
"I had a lovely chat with an old friend today.",0
"Planning to visit the museum this weekend. Want to join?",0
"I’m trying out a new hobby—calligraphy!",0
"Can we finalize the presentation slides by today?",0
"Had a peaceful walk in the park this morning.",0
"Do you need help setting up the new printer?",0
"Let’s plan a picnic by the lake this weekend.",0
"I’m taking a pottery class next month. Join me?",0
"Had a great meeting with the new client yesterday.",0
"Do you want to watch the new movie this weekend?",0
"I’ll drop off the package at your place tomorrow.",0
"I’ve been exploring meditation apps recently.",0
"Do you need a ride to the meeting later?",0
"Let’s celebrate your promotion with a dinner!",0
"Can you send me the details of the event?",0
"I’m planning to start jogging every morning.",0
"Let’s organize a charity event for the community.",0
"I had a relaxing yoga session this afternoon.",0
"Do you want to visit the new café downtown?",0
"Let’s plan a short road trip for the weekend.",0
"I’ve been practicing my guitar skills lately.",0
"Do you need help with moving to your new apartment?",0
"I had a fun day shopping with my cousin.",0
"Can we reschedule our meeting to next week?",0
"Looking forward to your thoughts on my proposal.",0
"Had a wonderful evening at the art gallery.",0
"I’m volunteering at the local shelter this Saturday.",0
"Do you want to collaborate on this research paper?",0
"I’ll join you for a run in the park tomorrow.",0
"Let’s bake some cookies for the kids this weekend.",0
"Do you want to try out the new restaurant?",0
"I’m attending a workshop on photography next month.",0
"Had a great brainstorming session with the team.",0
"I’ll send you the draft for review by tomorrow.",0
"Let’s join the book club meeting next Saturday.",0
"I had a relaxing weekend at home with family.",0
"I’m planning a small reunion with school friends.",0
"Do you want to carpool to the office tomorrow?",0
"I’ll be at the gym later. Want to join?",0
"Let’s organize a beach cleanup drive next week.",0
"I’m looking for recommendations for a good movie.",0
"Can we finalize the designs by this evening?",0
"I’m planning a hike this Sunday. Interested?",0
"Let’s grab lunch at the food truck festival.",0
"I’m helping out at the farmers’ market tomorrow.",0
"Do you want to attend the music festival next month?",0
"Looking forward to the holiday break with family.",0
"Let’s plan a community garden project together.",0
"I had a fun time playing board games with friends.",0
"I’m reading a new book series. It’s fantastic!",0
"I’ll send you the itinerary for the trip later.",0
"Let’s go ice-skating this weekend. It’ll be fun!",0
"Do you need help with organizing the files?",0
"I’m planning a family movie night tomorrow.",0
"Let’s brainstorm some ideas for the next campaign.",0
"I had an amazing day at the local zoo.",0
"Can we start the team meeting 30 minutes later?",0
"The pickup point has been marked. Keep it discreet.",1
"Make sure no one else knows about the location.",1
"The package will be hidden in the brown suitcase.",1
"I’ll confirm the meeting spot once I arrive.",1
"Everything needs to be done under the radar.",1
"The payment will be made in two separate drops.",1
"The stash is hidden in the attic of the safe house.",1
"Delete these instructions after reading.",1
"Meet me at the construction site at 9 PM.",1
"Make sure the contents are intact before the exchange.",1
"I’ll use a different phone to contact you next time.",1
"The delivery must happen within the next two hours.",1
"Be careful about surveillance near the handoff spot.",1
"The cash should be packed in an envelope.",1
"The meeting location has changed. I’ll text you.",1
"Do not discuss this deal over any unencrypted apps.",1
"The bag is placed in locker number 7.",1
"Do not attract attention during the pickup.",1
"Confirm once you have the package in hand.",1
"The buyer insists on proof of the product beforehand.",1
"The location must be checked for safety before the deal.",1
"The payment will be in cash, no exceptions.",1
"The handoff must be completed before sunrise.",1
"Ensure the product is hidden in a nondescript container.",1
"Use the alley entrance to avoid detection.",1
"Keep the operation completely confidential.",1
"The contents are fragile. Handle with care.",1
"The goods are packed and ready for the drop.",1
"Use the back door for the transaction.",1
"The cash must be handed over without any witnesses.",1
"All communication should be wiped immediately.",1
"The pickup is scheduled for 11 PM at the usual spot.",1
"I’ll be bringing a decoy just in case.",1
"Don’t use your personal phone for this operation.",1
"Confirm the package weight before handing it over.",1
"The deal must happen quickly to avoid detection.",1
"Drop the money bag at the third bench in the park.",1
"The stash is buried under the oak tree.",1
"Make sure the buyer is alone at the location.",1
"Change your appearance before arriving at the drop site.",1
"I’ll leave the item in a black box under the table.",1
"The product is concealed in a hollow book.",1
"The delivery must happen before the border checkpoint.",1
"I’ll send you the tracking number for the package.",1
"The stash is hidden behind the second fence post.",1
"Ensure no cameras are pointed at the transaction area.",1
"The exchange must take place in complete silence.",1
"The contents are in a blue duffel bag.",1
"I’ll text you the pickup location an hour before.",1
"The shipment is being monitored. Be cautious.",1
"The product is hidden in the false bottom of the suitcase.",1
"The handoff point has changed. New location coming soon.",1
"Only speak in code when discussing the deal.",1
"The package is inside locker number 14 at the station.",1
"Don’t let anyone suspect you during the transfer.",1
"Meet me behind the old gas station.",1
"The goods are wrapped in brown paper to avoid suspicion.",1
"Have the cash ready in a discreet envelope.",1
"Use the alley route to avoid the security checkpoint.",1
"The vehicle with the package will have its hazard lights on.",1
"Drop the bag near the fourth streetlamp.",1
"I’ll be wearing a red cap as a signal.",1
"The cargo is stored in the basement of the safe house.",1
"The payment must be split into multiple transactions.",1
"I’ve encrypted the details for your safety.",1
"Be sure to check for hidden trackers on the package.",1
"The drop is delayed due to increased security in the area.",1
"I’ll hand over the package personally at midnight.",1
"The stash is inside the hollow log by the river.",1
"The exchange point will be deserted. Be on time.",1
"Make sure no drones are in the vicinity during the handoff.",1
"The product is labeled as ‘books’ for transportation.",1
"Only one person should handle the delivery.",1
"The contents are fragile. Handle them carefully.",1
"I’ll leave the package in a black garbage bag.",1
"The goods are stored inside the warehouse locker.",1
"The meeting point is near the abandoned railway track.",1
"The buyer wants to inspect the goods before paying.",1
"The package has been double-sealed for security.",1
"The cash drop must be made in the mailbox at 12th Street.",1
"The buyer will use a green umbrella as a signal.",1
"The product is hidden inside the car's spare tire.",1
"The package must be retrieved within 30 minutes.",1
"The codeword for confirmation is ‘shadow’.",1
"I’ll wear a black hoodie as identification.",1
"The cash bag is inside the trash bin at the corner.",1
"The exchange must happen without any eye contact.",1
"The shipment is delayed. I’ll inform you once it’s safe.",1
"The goods are placed behind the signpost.",1
"The deal must happen before the next patrol.",1
"The buyer insists on a sample before the transaction.",1
"The product is in a locked metal box.",1
"The instructions are written on the underside of the bench.",1
"Keep an eye out for any plainclothes officers.",1
"The package is taped under the fourth seat of the bus.",1
"The meeting location is by the pier at dawn.",1
"The cash drop must be made in small bundles.",1
"The buyer’s alias is ‘Nightfall’.",1
"The product is marked with a green sticker.",1
"Keep the operation low-profile. No unnecessary risks.",1
"Let's meet for coffee tomorrow morning.",0  
"I really enjoyed the movie we watched last night.",0  
"Can you help me with my math homework?",0  
"The weather is so pleasant today, perfect for a walk.",0  
"I love reading science fiction books in my free time.",0  
"Congratulations on your promotion at work!",0  
"Happy birthday! Have a fantastic day ahead.",0  
"The kids are excited about their school trip next week.",0  
"What time is our team meeting scheduled for?",0  
"I bought some fresh vegetables from the market today.",0  
"I need to pick up some groceries after work.",0  
"We are planning a weekend getaway to the mountains.",0  
"Let’s play football this evening at the park.",0  
"The flowers in my garden are blooming beautifully.",0  
"I’m learning how to bake a chocolate cake.",0  
"We should organize a picnic at the beach.",0  
"I recently started painting as a hobby.",0  
"Do you know any good restaurants nearby?",0  
"The concert last night was absolutely amazing.",0  
"I’m so proud of you for achieving your goal.",0  
"Let's catch up for dinner this Friday.",0  
"I’ve been reading a lot about space exploration lately.",0  
"The new cafe in our neighborhood serves excellent coffee.",0  
"Have you watched the latest episode of the show?",0  
"Yoga has really helped me stay fit and relaxed.",0  
"Our new neighbor seems really friendly.",0  
"I need to buy some school supplies for the kids.",0  
"Can you recommend a good book to read?",0  
"We're planning to renovate our living room next month.",0  
"The puppies at the shelter are so adorable.",0  
"I spent the afternoon cycling along the river.",0  
"Let’s organize a charity event for the local community.",0  
"I’m excited to join the cooking class this weekend.",0  
"Our family reunion is scheduled for next month.",0  
"Don’t forget to water the plants while I’m away.",0  
"I’m trying out a new recipe for dinner tonight.",0  
"Watching the sunset from the hilltop was breathtaking.",0  
"I signed up for an online photography course.",0  
"The kids are building a treehouse in the backyard.",0  
"We’re planning a surprise party for Sarah’s birthday.",0  
"I’m looking forward to attending the book fair.",0  
"Our volleyball team won the match yesterday.",0  
"The new park has a wonderful jogging track.",0  
"Do you want to join me for a workout session?",0  
"I’ve been experimenting with new smoothie recipes.",0  
"The community festival is happening this weekend.",0  
"The artwork displayed at the gallery was stunning.",0  
"We’re organizing a blood donation camp at the center.",0  
"The library has a vast collection of travel books.",0  
"Attending the musical performance was so inspiring.",0  
"I’ve started learning a new language for fun.",0  
"I have a stash of cocaine ready for delivery.",1  
"Looking to purchase heroin? Message me.",1  
"Does anyone know where I can buy some meth?",1  
"Need a dealer for high-quality marijuana.",1  
"Trafficking LSD across the border is risky.",1  
"Sell your weed here for top street value.",1  
"Heroin shipment arrives tomorrow; contact me.",1  
"Darknet is the best place to get methamphetamine.",1  
"We can distribute hashish through hidden compartments.",1  
"Looking for ecstasy tablets in bulk.",1  
"Black market price for opioids is rising.",1  
"Smuggle hashish discreetly using our route.",1  
"Ketamine crystals available for purchase.",1  
"Xanax pills, the best relaxant, available.",1  
"Our lab manufactures synthetic drugs 24/7.",1  
"Designer drugs are trending on the Silk Road.",1  
"Customs won’t find the concealed heroin.",1  
"Hidden stash of shrooms up for grabs.",1  
"Purchase fentanyl with cryptocurrency here.",1  
"The cartel needs someone to distribute meth.",1  
"Illicit transactions are safer with bitcoin.",1  
"Extract cocaine crystals with this equipment.",1  
"Order your MDMA dose through our darknet store.",1  
"Hallucinogen shipments arrive every Friday.",1  
"Vicodin tablets available at street value.",1  
"Our underground lab produces opioids weekly.",1  
"Adderall pills for sale, contact discreetly.",1  
"Cheap synthetic marijuana for those who want it.",1  
"Get buzzed on premium quality DMT.",1  
"Psychedelics available; delivery in a hidden package.",1  
"Purchase liquid LSD from our secure site.",1  
"Injectable heroin kits available, contact us.",1  
"Hashish stash concealed in furniture available.",1  
"Marijuana shipment needs a route for delivery.",1  
